Year_x,Title,Abstract,title_topic,title_topic1,title_topic2,ab_topic,ab_topic1,ab_topic2,Matching_Topics,Fact1,Fact2,Fact3,final_topic,gpt_topic,Cat_L1,Cat_L2,Cat_L3,Cat_L1_Valid,Cat_L2_Valid,Cat_L3_Valid
2023,Clinical applications of arterial spin labeling of the intracranial compartment in vascular anomalies-A case-based review.,"Arterial spin labeling (ASL) is a magnetic resonance perfusion technique that allows for quantification of cerebral blood flow (CBF) without the use of contrast or radiation. Several applications of ASL have been described in diagnosis of strokes and stroke mimics, intracranial tumors, and other conditions. Various vascular anomalies exhibit specific CBF patterns that correlate with different signal intensities on ASL. In this case-based review, we demonstrate the utility of ASL in diagnosis and surveillance of vascular anomalies in the intracranial compartment.",vascular anomalies case,vascular anomalies,labeling intracranial compartment,vascular anomalies,cbf without,cbf without use,1,Arterial spin labeling (ASL) is a magnetic resonance perfusion technique that allows for quantification of cerebral blood flow (CBF) without the use of contrast or radiation,"Several applications of ASL have been described in diagnosis of strokes and stroke mimics, intracranial tumors, and other conditions",Various vascular anomalies exhibit specific CBF patterns that correlate with different signal intensities on ASL,vascular anomalies,vascular anomalies,Diagnostics & Imaging,Imaging Modalities,Cardiac MRI & CT,True,True,False
2023,Left atrial appendage thrombus in acute stroke: diagnostic accuracy of CT angiography compared to transesophageal echocardiography.,To evaluate the value of an extended emergency computed tomography angiography (CTA) including cardiac imaging in patients with acute ischemic stroke for the detection of left atrial appendage (LAA) thrombus compared to transesophageal echocardiography (TEE) as a reference standard.,atrial appendage,left atrial,left atrial appendage,value an_extended emergency,value an_extended,transesophageal_echocardiography_ tee reference_standard,0,To evaluate the value of an extended emergency computed tomography angiography (CTA) including cardiac imaging in patients with acute ischemic stroke for the detection of left atrial appendage (LAA) thrombus compared to transesophageal echocardiography (TEE) as a reference standard.,,,atrial appendage,atrial appendage,Diagnostics & Imaging,Imaging Modalities,Cardiac MRI & CT,True,True,True
2023,Systematic Review of Signs and Symptoms Associated with Hematopoietic Stem Cell Transplantation-Associated Thrombotic Microangiopathy.,"Hematopoietic stem cell transplantation-associated thrombotic microangiopathy (HSCT-TMA) is a serious complication of the transplantation process that has been consistently associated with substantially greater morbidity and mortality compared with HSCT recipients who do not develop TMA. This study aimed to systematically review published signs and symptoms of HSCT-TMA and compare patients with HSCT-TMA and HSCT recipients who do not develop TMA. Publications were identified using multiple search term variations for stem cell transplantation that were entered into the PubMed, Embase, and CINAHL databases. Two reviewers screened references at the abstract level before reviewing full texts against inclusion and exclusion criteria using a PICOS-T framework. Complication proportions were grouped by organ class and then by complication type. Meta-analyses were conducted using a random-effects model in RevMan 5.4. After 2338 references were screened, a total of 30 studies were included in our analyses. The majority of studies (n=23; 14 adult, 5 pediatric, 4 both) examined allogeneic transplantations only. Four studies examined autologous transplantation only (all pediatric), and 3 studies included both transplantation types (all pediatric). HSCT-TMA was associated with renal dysfunction (odds ratio [OR], 11.04 for adult, allogeneic and 7.35 for pediatric, all transplantations), renal failure (OR, 2.41 for adult and pediatric, allogeneic), renal replacement therapy (OR, 6.99 for pediatric, all transplantations and 60.85 for adult, allogeneic), and hypertension (OR, 5.44 for adult, allogeneic). HSCT-TMA was associated with respiratory failure (OR, 8.00 for adult and pediatric, allogeneic), pulmonary hypertension (OR, 9.86 for adult and pediatric, allogeneic), need for pleurocentesis (OR, 5.45 for pediatric, all transplantations), noninvasive ventilation (OR, 6.15 for pediatric, all transplantations), and invasive mechanical ventilation (OR, 5.18 for pediatric, all transplantations). Additionally, HSCT-TMA was associated with neurologic symptoms (OR, 2.28 for adult and pediatric, allogeneic), pericardial effusion (OR, 2.56 for adult and pediatric, allogeneic and 8.76 for pediatric, all transplantations), liver injury (OR, 3.87 for adult, allogeneic), infection (OR, 9.25 for adult, allogeneic; 2.06 for pediatric, all transplantations), gastrointestinal (GI) bleeding (OR, 7.78 for adult and pediatric, allogeneic), and acute graft-versus-host disease grade III-IV (OR, 3.29 for adult and pediatric, allogeneic). This study represents the first systematic review of HSCT-TMA signs and symptoms. Current diagnostic criteria systems involve laboratory markers for multiorgan dysfunction, including renal dysfunction, liver injury, and general tissue damage. Diagnostic criteria include neurologic symptoms, increased need for transfusions, and hypertension. This study identified additional associations with HSCT-TMA, including increased pulmonary hypertension, respiratory failure, fever, GI bleeding, and pericardial effusion. These symptoms might be included for evaluation in future diagnostic criteria and current practice.",thrombotic microangiopathy,induced thrombotic microangiopathy,induced thrombotic,hsct tma,adult pediatric,_all transplantations,0,Hematopoietic stem cell transplantation-associated thrombotic microangiopathy (HSCT-TMA) is a serious complication of the transplantation process that has been consistently associated with substantially greater morbidity and mortality compared with HSCT recipients who do not develop TMA,This study aimed to systematically review published signs and symptoms of HSCT-TMA and compare patients with HSCT-TMA and HSCT recipients who do not develop TMA,"Publications were identified using multiple search term variations for stem cell transplantation that were entered into the PubMed, Embase, and CINAHL databases",thrombotic microangiopathy,thrombotic microangiopathy,Clinical Cardiology,Other Clinical Areas,Valvular Heart Disease,False,True,False
2025,"Analysis of the brain transcriptome, microbiome and metabolome in ketogenic diet and experimental stroke.","The ketogenic diet (KD) has been shown to be effective in treating various brain pathologies. In this study, we conducted detailed transcriptomic and metabolomic profiling of rat brains after KD and ischemic stroke in order to investigate the effects of KD and its underlying mechanisms. We evaluated the effect of a two-month KD on gene expression in intact brain tissue and after middle cerebral artery occlusion (MCAO). We analyzed the effects of KD on gut microbiome composition and blood metabolic profile as well as investigated the correlation between severity of neurological deficits and KD-induced changes. We found transcriptional reprogramming in the brain after stroke and KD treatment. The KD altered the expression of genes involved in the regulation of glucose and fatty acid metabolism, mitochondrial function, the immune response, Wnt-associated signaling, stem cell development, and neurotransmission, both in intact rats and after MCAO. The KD led to a significant change in the composition of gut microbiome and the levels of amino acids, acylcarnitines, polyunsaturated fatty acids, and oxylipins in the blood. However, the KD slightly worsened the neurological functions after MCAO, so that the therapeutic effect of the diet remained unproven.",gut microbiota,role gut_microbiota,ischemic_stroke gut,brain axis,gut brain,gut brain_axis,0,The ketogenic diet (KD) has been shown to be effective in treating various brain pathologies,"In this study, we conducted detailed transcriptomic and metabolomic profiling of rat brains after KD and ischemic stroke in order to investigate the effects of KD and its underlying mechanisms",We evaluated the effect of a two-month KD on gene expression in intact brain tissue and after middle cerebral artery occlusion (MCAO),gut microbiota,gut microbiota,Basic / Translational Research,Genetic & Epigenetic Studies,Transcriptomics & RNA Regulation,True,False,True
2022,The Hands of Time.,"When making decisions about goals-of-care for a patient who lacks decision-making capacity, surrogates sometimes have internal disagreements, particularly if there are complicated family dynamics. Here, I describe the evolution of end-of-life discussions for a patient who had a catastrophic stroke amongst a family who had preexisting discord.",hands time,,,who_had preexisting discord,who_had preexisting,who_had catastrophic stroke,0,"When making decisions about goals-of-care for a patient who lacks decision-making capacity, surrogates sometimes have internal disagreements, particularly if there are complicated family dynamics","Here, I describe the evolution of end-of-life discussions for a patient who had a catastrophic stroke amongst a family who had preexisting discord.",,,,Clinical Cardiology,Other Clinical Areas,Other Clinical Areas,False,True,True
2015,Brief Report: Oxidative Stress Mediates Cardiomyocyte Apoptosis in a Human Model of Danon Disease and Heart Failure.,"Danon disease is a familial cardiomyopathy associated with impaired autophagy due to mutations in the gene encoding lysosomal-associated membrane protein type 2 (LAMP-2). Emerging evidence has highlighted the importance of autophagy in regulating cardiomyocyte bioenergetics, function, and survival. However, the mechanisms responsible for cellular dysfunction and death in cardiomyocytes with impaired autophagic flux remain unclear. To investigate the molecular mechanisms responsible for Danon disease, we created induced pluripotent stem cells (iPSCs) from two patients with different LAMP-2 mutations. Danon iPSC-derived cardiomyocytes (iPSC-CMs) exhibited impaired autophagic flux and key features of heart failure such as increased cell size, increased expression of natriuretic peptides, and abnormal calcium handling compared to control iPSC-CMs. Additionally, Danon iPSC-CMs demonstrated excessive amounts of mitochondrial oxidative stress and apoptosis. Using the sulfhydryl antioxidant N-acetylcysteine to scavenge free radicals resulted in a significant reduction in apoptotic cell death in Danon iPSC-CMs. In summary, we have modeled Danon disease using human iPSC-CMs from patients with mutations in LAMP-2, allowing us to gain mechanistic insight into the pathogenesis of this disease. We demonstrate that LAMP-2 deficiency leads to an impairment in autophagic flux, which results in excessive oxidative stress, and subsequent cardiomyocyte apoptosis. Scavenging excessive free radicals with antioxidants may be beneficial for patients with Danon disease. In vivo studies will be necessary to validate this new treatment strategy. ",gene_expression,growth_factor,endothelial_cell,myocardial_infarction,receptor_antagonist,beneficial_effect,0," Danon disease is a familial cardiomyopathy caused by mutations in the LAMP-2 gene, which impairs autophagy. 
 "," The study used induced pluripotent stem cells to model Danon disease and found impaired autophagic flux, increased cell size, and abnormal calcium handling in Danon iPSC-CMs. 
 "," The study suggests that scavenging free radicals with antioxidants may be a potential treatment strategy for Danon disease, but further in vivo studies are needed to validate this approach",,heart failure treatment and prognosis,Basic / Translational Research,Genetic & Epigenetic Studies,Transcriptomics & RNA Regulation,True,True,False
2013,Simple integer risk score to determine prognosis of patients with hypertension and chronic stable coronary artery disease.,"BACKGROUND: It is difficult to accurately determine prognosis of patients with hypertension and chronic stable coronary artery disease (CAD). Our aim was to construct a risk score for predicting important adverse events in this population. METHODS AND RESULTS: Patients with hypertension and chronic stable CAD enrolled in the INternational VErapamil-SR/Trandolapril STudy (INVEST) comprised the study cohort. Candidate predictor variables were obtained from patients with at least 1 postbaseline visit. Patients were divided into development (n=18 484) and validation cohorts (n=2054). Cox regression model identified predictors of the primary outcome: all-cause mortality, myocardial infarction, or stroke at a mean follow-up of 2.3 years. The hazard ratio of each variable was rounded to the nearest integer to construct score weights. A score 0 to 4 defined low-risk, 5 to 6 intermediate-risk and ≥7 high-risk. The following variables were retained in the final model: age, residence, body mass index, on-treatment heart rate and BP, prior myocardial infarction, heart failure, stroke/transient ischemic attack, smoking, diabetes, peripheral arterial disease, and chronic kidney disease. The primary outcome occurred in 2.9% of the low-risk group, 6.5% of the intermediate-risk group, and 18.0% of the high-risk group (P for trend <0.0001). The model was good at discriminating those who had an event versus those who did not (C-statistic=0.75). The model performed well in a validation cohort (C-statistic=0.77). CONCLUSION: Readily available clinical variables can rapidly stratify patients with hypertension and chronic stable CAD into useful risk categories. ",pregnant_rat,gene_expression,endothelial_cell,mean_year,coronary_artery,smooth_muscle,0," The study aimed to develop a risk score to predict adverse events in patients with hypertension and chronic stable coronary artery disease. 
 "," The risk score was based on several clinical variables such as age, smoking, diabetes, and previous heart conditions. 
 "," The risk score successfully stratified patients into low, intermediate, and high-risk categories and can help clinicians identify patients who need closer monitoring or more intensive treatment",,post stroke aphasia,Clinical Cardiology,Coronary Artery Disease,Angina & Chronic Ischemic Syndromes,True,True,True
2013,Application of speckle-tracking in the evaluation of carotid artery function in subjects with hypertension and diabetes.,"BACKGROUND: Speckle-tracking enables direct tracking of carotid arterial wall motion. Timing intervals determined with carotid speckle-tracking and slopes calculated from carotid artery area versus cardiac cycle curves may provide further information on arterial function and stiffness. The proposed arterial stiffness parameters were examined in healthy controls (n = 20), nondiabetic patients with hypertension (n = 20), and patients with type 2 diabetes (n = 21). METHODS: Bilateral electrocardiographically gated ultrasonograms of the distal common carotid artery were acquired using a 12-MHz vascular probe. Four timing intervals were derived from speckle-tracked carotid arterial strain curves: (1) carotid predistension period, (2) peak carotid arterial strain time, (3) arterial distension period, and (4) arterial diastolic time. In addition, carotid artery area curves were recorded over the cardiac cycle and subdivided into four segments, S1 to S4, relating to arterial distention and contraction periods. RESULTS: Mean far wall predistension period and peak carotid arterial strain time were more delayed in patients with diabetes and hypertension than in controls. Global mean arterial distension period was prolonged and arterial diastolic time was shorter in patients with hypertension and diabetes than in controls. Slopes of segments S2 and S4 were markedly steeper in the combined group of patients with hypertension and diabetes compared with healthy controls (P = .03 and P = .02, respectively). CONCLUSIONS: Speckle-tracking-based measures of arterial stiffness may provide potential additive value in assessing vascular function in patients at risk for cardiovascular disease. ",atherosclerosis_risk_communities,gene_expression,endothelial_cell,play_role,carotid_artery,coronary_artery,0," Carotid speckle-tracking helps measure carotid arterial wall motion and stiffness by tracking timing intervals and calculating slopes. 
 "," The study examined three groups: healthy controls, patients with hypertension, and patients with type 2 diabetes, and found differences in carotid arterial wall motion and stiffness between these groups. 
 ", The study suggests that speckle-tracking-based measures of arterial stiffness may be useful in assessing vascular function in patients at risk for cardiovascular disease,,hypertension control,Diagnostics & Imaging,Emerging Diagnostic Techniques,AI & Machine Learning Tools,True,True,False
2013,MCP-1-induced protein promotes endothelial-like and angiogenic properties in human bone marrow monocytic cells.,"Monocytic cells enhance neovascularization by releasing proangiogenic mediators and/or by transdifferentiating into endothelial-like cells. However, the mechanisms that govern this transdifferentiation process are largely unknown. Recently, monocyte chemotactic protein-1 (MCP-1)-induced protein (MCPIP) has been identified as a novel CCCH-type zinc-finger protein expressed primarily in monocytic cells. Here, we analyzed whether MCPIP might exert angiogenic effects by promoting differentiation of monocytic cells into endothelial cell (EC)-like phenotype. The expression of MCPIP increased during MCP-1-induced transdifferentiation in human bone marrow mononuclear cells (BMNCs). Knockdown of MCPIP with small interfering RNA (siRNA) abolished MCP-1-induced expression of EC markers Flk-1 and Tie-2 in human BMNCs. BMNCs transfected with MCPIP expression vector displayed EC-like morphology accompanied by downregulation of monocytic markers CD14 and CD11b, upregulation of EC markers Flk-1 and Tie-2, induction of cadherin (cdh)-12 and -19, activation of endoplasmic reticulum (ER) stress, and autophagy. Knockdown of cdh-12 or cdh-19 markedly inhibited MCPIP-induced enhancement of cell attachment and EC-marker expression. Inhibition of ER stress by tauroursodeoxycholate abolished MCPIP-induced expression of EC markers. Inhibition of autophagy by knockdown of Beclin-1 with siRNA or by an autophagy inhibitor 3'-methyladenine inhibited MCPIP-induced expression of EC markers. Expression of MCPIP in BMNCs enhanced uptake of acetylated low-density lipoprotein (acLDL), formation of EC-colony, incorporation of cells into capillary-like structure on Matrigel, and exhibited increased neovascularization in the ischemic hindlimb in mice. These results demonstrate that MCPIP may be an important regulator of inflammatory angiogenesis and provide novel mechanistic insights into the link between MCP-1 and cardiovascular diseases. ",atherosclerosis_risk_communities,gene_expression,endothelial_cell,endothelial_cell,methods_result,previously_report,1," Monocytic cells can enhance neovascularization by releasing proangiogenic mediators or transdifferentiating into endothelial-like cells. 
 "," MCPIP, a zinc-finger protein, promotes differentiation of monocytic cells into endothelial cell-like phenotype. 
 "," MCPIP regulates EC-marker expression, cell attachment, and neovascularization by modulating ER stress, autophagy, and CDH12/19 expression",,angiogenesis and vascular function,Basic / Translational Research,Molecular Mechanisms,Signaling Pathways,True,True,True
2013,Huntington's disease induced cardiac amyloidosis is reversed by modulating protein folding and oxidative stress pathways in the Drosophila heart.,"Amyloid-like inclusions have been associated with Huntington's disease (HD), which is caused by expanded polyglutamine repeats in the Huntingtin protein. HD patients exhibit a high incidence of cardiovascular events, presumably as a result of accumulation of toxic amyloid-like inclusions. We have generated a Drosophila model of cardiac amyloidosis that exhibits accumulation of PolyQ aggregates and oxidative stress in myocardial cells, upon heart-specific expression of Huntingtin protein fragments (Htt-PolyQ) with disease-causing poly-glutamine repeats (PolyQ-46, PolyQ-72, and PolyQ-102). Cardiac expression of GFP-tagged Htt-PolyQs resulted in PolyQ length-dependent functional defects that included increased incidence of arrhythmias and extreme cardiac dilation, accompanied by a significant decrease in contractility. Structural and ultrastructural analysis of the myocardial cells revealed reduced myofibrillar content, myofibrillar disorganization, mitochondrial defects and the presence of PolyQ-GFP positive aggregates. Cardiac-specific expression of disease causing Poly-Q also shortens lifespan of flies dramatically. To further confirm the involvement of oxidative stress or protein unfolding and to understand the mechanism of PolyQ induced cardiomyopathy, we co-expressed expanded PolyQ-72 with the antioxidant superoxide dismutase (SOD) or the myosin chaperone UNC-45. Co-expression of SOD suppressed PolyQ-72 induced mitochondrial defects and partially suppressed aggregation as well as myofibrillar disorganization. However, co-expression of UNC-45 dramatically suppressed PolyQ-72 induced aggregation and partially suppressed myofibrillar disorganization. Moreover, co-expression of both UNC-45 and SOD more efficiently suppressed GFP-positive aggregates, myofibrillar disorganization and physiological cardiac defects induced by PolyQ-72 than did either treatment alone. Our results demonstrate that mutant-PolyQ induces aggregates, disrupts the sarcomeric organization of contractile proteins, leads to mitochondrial dysfunction and increases oxidative stress in cardiomyocytes leading to abnormal cardiac function. We conclude that modulation of both protein unfolding and oxidative stress pathways in the Drosophila heart model can ameliorate the detrimental PolyQ effects, thus providing unique insights into the genetic mechanisms underlying amyloid-induced cardiac failure in HD patients. ",gene_expression,endothelial_cell,coronary_artery,oxidative_stress,mean_year,methods_result,0," Huntington's disease is caused by expanded polyglutamine repeats in the Huntingtin protein and is associated with a high incidence of cardiovascular events. 
 "," A Drosophila model of cardiac amyloidosis has been generated to study the effects of Huntingtin protein fragments with disease-causing poly-glutamine repeats on the heart. 
 ", The study found that co-expression of antioxidant superoxide dismutase and myosin chaperone UNC-45 can suppress the detrimental effects of mutant-PolyQ on cardiac function and aggregates in the Drosophila heart model,,atrial fibrillation,Basic / Translational Research,Molecular Mechanisms,Signaling Pathways,True,True,True
